raw_mean,raw_std,rms,D1_mean,D1_std,D2_mean,D2_std,edl_mean,edl_std,phasic_mean,phasic_std,scr_count,sum_rize_time,scr_amp_mean,scr_amp_max,scr_amp_min,importance,filename,arousal,valence,arousal_label
0.47491665,0.01654239076014542,0.4752022671629945,-0.001312613445378151,0.008341708043716065,-0.0006184661016949154,0.0060279594932852055,0.45237398691935393,0.042446548231476845,0.022542663080646654,0.03216329556440725,27,10.5,0.0027977407407407395,0.011523000000000005,0.0012800000000000034,648,data_2_E4,1,-1,1
0.7830754166666665,0.01571744264195296,0.7832318223494561,-0.00032277310924369704,0.002770264074290511,2.1703389830507835e-05,0.004238061440625695,0.7800180967143775,0.013316675443657259,0.003057319952288729,0.0031110283774364923,19,10.0,0.004851789473684224,0.016643999999999992,0.0012799999999999478,0,data_3_E4,-3,2,0
0.6193428333333334,0.008895158840375937,0.6194061750473057,0.00020442016806722748,0.0035042500406486936,-3.2559322033898406e-05,0.004567286938115797,0.6104931726186231,0.011970621285032889,0.00884966071471068,0.009063375766797749,16,9.0,0.003921124999999991,0.007681999999999967,0.0012809999999999766,2166,data_4_E4,2,-2,1
0.5837339666666668,0.0018719087276343868,0.5837369430508347,0.0,0.0023514087807604213,-4.339830508474518e-05,0.00398931978465883,0.5834577731315901,0.0010816987377361823,0.0002761935350762556,0.0006818722863818096,30,13.75,0.00344372413793101,0.007681999999999967,0.0012799999999999478,0,data_5_E4,-3,3,0
3.5372198999999998,0.08989188329530354,3.5383524179646146,-0.0014517142857142882,0.013806184995177526,0.0004991101694915266,0.007577247294394455,3.468858382161045,0.08554582296168928,0.06836151783895443,0.07252717754536245,2,6.25,0.1786049999999999,0.2842319999999998,0.07297799999999999,0,data_6_E4,-3,-2,0
5.041288908333333,0.24700045684824884,5.047285871907189,0.0053823193277310905,0.04258737362473881,-0.0012694915254237282,0.03192902761072752,4.818341416465852,0.12482079022693367,0.22294749186748022,0.16823943988923248,5,6.0,0.3262465000000001,0.7960469999999997,0.08962300000000045,2067,data_7_E4,-3,-1,0
6.756075741666667,0.43506969401195417,6.769953300094646,-0.004540327731092438,0.14137642704814743,-0.0014430762711864365,0.11380623782996799,5.314353526552478,0.8697110333596035,1.4417222151141926,0.9434212761950507,4,6.5,1.0031925000000002,2.0227310000000003,0.16957500000000003,0,data_8_E4,0,-1,0
3.1608308583333335,0.050425692408189206,3.161229709442191,-0.0016138571428571421,0.004050300374476754,9.765254237288093e-05,0.005061089584686668,3.151411716904053,0.05112179295921062,0.00941914142928039,0.010672438900974222,5,3.0,0.013571799999999978,0.04609299999999994,0.0038409999999999833,478,data_9_E4,-2,-3,0
4.1823928,0.06291834060561914,4.182862089737504,0.0002689747899159686,0.013832682743748248,0.00010849999999999913,0.016216263695285837,4.128737589774436,0.026727919922897733,0.053655210225566935,0.0630045309518587,6,8.5,0.07874033333333348,0.17156400000000005,0.025606000000000684,84,data_10_E4,-3,-4,0
5.489805708333334,0.2651413924295278,5.496151457178518,0.010601100840336133,0.10588618043753759,-0.001150194915254234,0.11847139897126885,4.513118356377859,0.7285113648276014,0.9766873519554742,0.7286185476044734,8,9.75,0.30327357142857153,0.962866,0.07682400000000023,256,data_11_E4,-3,-2,0
1.4019563583333332,0.00472858014611672,1.4019642662395293,-0.00016139495798319376,0.0025145507710074818,-8.474576270489265e-09,0.004371774838580283,1.401824181146121,0.004188023145158291,0.0001321771872149516,0.00040139097173259527,32,13.0,0.003481062499999986,0.006401999999999797,0.0012799999999999478,0,data_12_E4,-1,-1,0
3.0832495833333335,0.0732366322257824,3.0841120117016585,-0.000860781512605042,0.0166787443041144,1.0847457627118201e-05,0.017530939592679363,2.980242900655688,0.04438065676673848,0.10300668267764403,0.09487341875254654,2,1.0,0.016004499999999977,0.024326999999999988,0.007681999999999967,0,data_13_E4,-2,0,0
3.240937416666667,0.18993221490330972,3.2464517501865426,0.00449755462184874,0.05374626702176194,0.00029297457627118755,0.06155021883544898,3.129414852917471,0.13052545845300437,0.11152256374919658,0.21669349267601645,16,5.0,0.011043499999999984,0.040972999999999704,0.0025610000000000355,169,data_14_E4,-3,-3,0
2.597645258333333,0.07539375201276931,2.59873002397367,0.0006133025210084017,0.029098526743402645,-0.00035808474576271384,0.031211110417010832,2.3733505505005628,0.15316709071092482,0.22429470783277003,0.14892265835772595,7,6.25,0.07115414285714282,0.29065200000000013,0.014083999999999985,101,data_15_E4,-3,4,0
1.0098064333333334,0.03417059819278353,1.0103795981382773,-0.0010659159663865543,0.0041439924877636,4.340677966101661e-05,0.005807762144945428,1.0013322946497132,0.03916037913648901,0.008474138683620588,0.012342868734846213,2,1.5,0.027475499999999986,0.04982999999999993,0.005121000000000042,278,data_16_E4,-2,-1,0
3.3104972583333336,0.32938448679456034,3.3267073991769887,-0.0040874453781512615,0.11322491214061113,7.594067796609979e-05,0.11456836346268465,1.24996521984398,1.3549175926504229,2.0605320384893506,1.35274820015357,4,5.5,0.4833315,0.8630360000000001,0.12290400000000012,0,data_17_E4,-2,-2,0
3.202078125,0.0864637883159316,3.2032355525943412,-0.0016783109243697478,0.016374677217027164,-3.2542372881354606e-05,0.010929476666292962,3.1296676629081492,0.1360064613731454,0.07241046209184657,0.13589733618613728,1,2.25,0.38151599999999997,0.38151599999999997,0.38151599999999997,128,data_18_E4,-2,-2,0
3.50142555,0.19126023434941314,3.5066018482465093,0.003302075630252104,0.02547785856890141,-0.00010849152542372676,0.015818054821549125,3.3525219214660287,0.1105100826398643,0.14890362853397035,0.14646467652378092,4,6.25,0.25826825,0.4480879999999998,0.015363000000000238,0,data_19_E4,-3,-3,0
7.624123283333334,0.29609655681083147,7.629822959981622,0.0005522268907563022,0.05836127598560899,-0.0007486271186440624,0.027163328922785966,7.265622285941543,0.10016992360584229,0.3585009973917889,0.28813698555811357,3,2.0,0.17667449999999985,0.2995789999999996,0.053770000000000095,0,data_20_E4,-3,-4,0
1.2195545083333335,0.051318926473441384,1.2206247925039966,-0.0014308655462184866,0.00319389598687704,3.254237288135649e-05,0.005420133231787369,1.2180571976645311,0.051729365471981564,0.0014973106688027048,0.0022219478651730458,30,8.75,0.0025606999999999935,0.008961999999999914,0.0012799999999999478,159,data_38_E4,0,-2,0
0.7239126749999999,0.015744758031856914,0.7240824487718405,-0.0004410924369747902,0.002815969589443604,-5.424576271186338e-05,0.005025498469874264,0.7240114730498342,0.016602738822399304,-9.879804983397592e-05,0.001427767596254848,39,12.0,0.0028974736842105405,0.00640099999999999,0.0012799999999999478,0,data_39_E4,2,0,1
0.8565932749999999,0.21079026281542915,0.8819378110438825,-0.0027105462184873943,0.053000608521730136,-0.0003146355932203392,0.06858081324250119,0.3189287975148075,0.18678375770244166,0.5376644774851919,0.23929673383894734,3,1.75,0.07340099999999998,0.13186599999999993,0.0038409999999999833,388,data_40_E4,1,1,1
2.0742877583333335,0.33168139271216124,2.100420310181768,0.006685210084033615,0.04186036754737413,1.0847457627120083e-05,0.029552423730015986,1.8123473413958828,0.12404185526779586,0.2619404169374502,0.22344257768356368,6,8.5,0.296863,0.674693,0.0921780000000001,717,data_41_E4,-3,0,0
2.834061566666667,0.029740526407929103,2.834216309977748,-7.53025210084052e-05,0.009906037853680619,-7.594067796610355e-05,0.012357492500947814,2.814225143737994,0.03546324610284776,0.019836422928676108,0.039799968820798406,17,7.75,0.014459352941176467,0.12930600000000014,0.0025599999999998957,0,data_42_E4,-2,-1,0
2.6556081416666664,0.08582570668945563,2.656983114407948,-0.007065142857142858,0.056336529652101695,-0.004434322033898305,0.04426296775187027,2.1679791964332673,0.7178205979867324,0.48762894523339984,0.6856759851517147,4,4.25,0.09559200000000005,0.11522299999999985,0.06913299999999989,603,data_43_E4,-1,1,0
