time_minutes,eda_microsiemens
0.0,1.726172
0.004168982768204558,1.721048
0.008337965536409116,1.72361
0.012506948304613675,1.718485
0.016675931072818232,1.726172
0.02084491384102279,1.724891
0.02501389660922735,1.721048
0.029182879377431907,1.714642
0.033351862145636464,1.718485
0.03752084491384102,1.709518
0.04168982768204558,1.709518
0.045858810450250136,1.704394
0.0500277932184547,1.708237
0.05419677598665926,1.708237
0.058365758754863814,1.717204
0.06253474152306837,1.724891
0.06670372429127293,1.732577
0.07087270705947749,1.731296
0.07504168982768204,1.724891
0.0792106725958866,1.708237
0.08337965536409116,1.717204
0.08754863813229571,1.724891
0.09171762090050027,1.732577
0.09588660366870483,1.731296
0.1000555864369094,1.724891
0.10422456920511396,1.721048
0.10839355197331851,1.72361
0.11256253474152307,1.733858
0.11673151750972763,1.721048
0.12090050027793219,1.717204
0.12506948304613674,1.726172
0.12923846581434129,1.709518
0.13340744858254586,1.705675
0.13757643135075043,1.703113
0.14174541411895497,1.709518
0.14591439688715954,1.708237
0.15008337965536409,1.705675
0.15425236242356866,1.735139
0.1584213451917732,1.731296
0.16259032795997777,1.728734
0.16675931072818231,1.722329
0.17092829349638688,1.721048
0.17509727626459143,1.727453
0.179266259032796,1.719766
0.18343524180100054,1.715923
0.1876042245692051,1.713361
0.19177320733740966,1.710799
0.19594219010561423,1.708237
0.2001111728738188,1.704394
0.20428015564202334,1.71208
0.2084491384102279,1.715923
0.21261812117843246,1.721048
0.21678710394663703,1.714642
0.22095608671484157,1.695427
0.22512506948304614,1.695427
0.22929405225125069,1.689022
0.23346303501945526,1.624971
0.2376320177876598,1.758197
0.24180100055586437,1.382858
0.2459699833240689,1.895067
0.2501389660922735,1.920688
0.25430794886047803,1.914283
0.25847693162868257,1.895067
0.26264591439688717,1.896348
0.2668148971650917,1.895067
0.27098387993329626,1.900191
0.27515286270150086,1.902753
0.2793218454697054,1.933498
0.28349082823790994,1.93606
0.2876598110061145,1.934978
0.2918287937743191,1.938821
0.2959977765425236,1.936259
0.30016675931072817,1.941383
0.3043357420789327,1.943946
0.3085047248471373,1.941383
0.31267370761534186,1.94907
0.3168426903835464,1.94907
0.32101167315175094,1.947789
0.32518065591995554,1.951632
0.3293496386881601,1.956756
0.33351862145636463,1.970847
0.3376876042245692,2.001591
0.34185658699277377,2.019526
0.3460255697609783,2.029774
0.35019455252918286,2.042584
0.35436353529738746,2.063081
0.358532518065592,2.070767
0.36270150083379654,2.083577
0.3668704836020011,2.101511
0.3710394663702057,2.109197
0.3752084491384102,2.122008
0.37937743190661477,2.132256
0.3835464146748193,2.130975
0.3877153974430239,2.054113
0.39188438021122846,2.022088
0.396053362979433,2.034898
0.4002223457476376,2.046427
0.40439132851584214,2.070767
0.4085603112840467,2.059237
0.4127292940522512,2.057956
0.4168982768204558,2.0618
0.42106725958866037,2.065643
0.4252362423568649,2.078453
0.42940522512506946,2.052832
0.43357420789327406,2.014402
0.4377431906614786,1.718485
0.44191217342968314,2.186059
0.4460811561978877,2.171968
0.4502501389660923,2.326971
0.4544191217342968,1.967004
0.45858810450250137,2.148909
0.4627570872707059,1.566044
0.4669260700389105,1.300872
0.47109505280711506,1.118768
0.4752640355753196,2.096188
0.4794330183435242,2.429453
0.48360200111172874,1.968915
0.4877709838799333,2.202061
0.4919399666481378,1.860028
0.4961089494163424,1.91192
0.500277932184547,2.583176
0.5044469149527515,2.717032
0.5086158977209561,2.683725
0.5127848804891606,1.815192
0.5169538632573651,1.364923
0.5211228460255698,1.353195
0.5252918287937743,1.959118
0.5294608115619789,2.584457
0.5336297943301834,2.592772
0.537798777098388,2.582524
0.5419677598665925,2.704221
0.5461367426347971,2.193094
0.5503057254030017,2.670915
0.5544747081712063,2.69013
0.5586436909394108,2.688849
0.5628126737076153,2.678601
0.5669816564758199,2.658105
0.5711506392440244,2.647856
0.575319622012229,2.64017
0.5794886047804335,2.624798
0.5836575875486382,2.610707
0.5878265703168427,2.600459
0.5919955530850473,2.588929
0.5961645358532518,2.554342
0.6003335186214563,2.53897
0.6045025013896609,2.524878
0.6086714841578654,2.480042
0.6128404669260701,2.486448
0.6170094496942746,2.50182
0.6211784324624792,2.509506
0.6253474152306837,2.513349
0.6295163979988883,2.518473
0.6336853807670928,2.495415
0.6378543635352973,2.436488
0.6420233463035019,2.541532
0.6461923290717065,2.570995
0.6503613118399111,2.569714
0.6545302946081156,2.587648
0.6586992773763202,2.594054
0.6628682601445247,2.606864
0.6670372429127293,2.603021
0.6712062256809338,2.583805
0.6753752084491385,2.583805
0.679544191217343,2.559466
0.6837131739855475,2.523597
0.6878821567537521,2.519754
0.6920511395219566,2.517192
0.6962201222901612,2.519754
0.7003891050583657,2.494134
0.7045580878265703,1.81263
0.7087270705947749,1.54811
0.7128960533629795,2.52553
0.717065036131184,2.510787
0.7212340188993885,2.497977
0.7254030016675931,2.500539
0.7295719844357976,2.508225
0.7337409672040022,2.512068
0.7379099499722068,2.509506
0.7420789327404114,2.52744
